Product Title,Seller SKU Id,Sub-category,Listing Status,MRP,Your Selling Price,Fulfillment By,System Stock count,Procurement SLA,Procurement Type,Package Length - Length of the package in cms,Package Breadth - Breadth of the package in cms,Package Height - Height of the package in cms,Package Weight - Weight of the package in Kgs,Local Delivery Charge to Customer (per qty),Zonal Delivery Charge to Customer (per qty),National Delivery Charge to Customer (per qty),Harmonized System Nomenclature - HSN,Tax Code,Country of Origin ISO code,Listing Archival
"The Outsiders (Paperback, WILLIAM N THORNDIKE)","The Outsiders  (Paperback, WILLIAM N THORNDIKE)",book,ACTIVE,499,432,Seller,0,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Outsiders (Paperback, William Thorndike)",The Outsiders  (Paperback),book,ACTIVE,499,432,Seller,0,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Outsiders By 
Thorndike William N. (Paperback, Thorndike William N.)",The Outsiders By Thorndike William N.,book,ACTIVE,1199,383,Seller,0,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Perfect Son (English, Paperback, McFadden Freida)","The Perfect Son (English, Paperback, McFadden Freida)",book,ACTIVE,399,300,Seller,20,1,express,15,3,20,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Perfect Son (Paperback, Freida McFadden)","The Perfect Son (Paperback, Freida McFadden) ",book,ACTIVE,599,332,Seller,20,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"The Perfect Son (Paperback, Freida McFadden)","The Perfect Son (Paperback, Freida McFadden )",book,ACTIVE,699,330,Seller,20,1,express,15,3,20,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Perfect Son (Paperback, Freida McFadden)",The Perfect Son  ,book,ACTIVE,999,295,Seller,20,1,express,15,3,20,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Perfect Son (Paperback, Freida McFadden)",The Perfect Son ,book,ACTIVE,499,300,Seller,20,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"THE PERFECT SON (Paperback, FRIEDA MCFADDEN)",THE PERFECT SON: FRIEDA MCFADDEN,book,ACTIVE,749,330,Seller,20,1,express,15,3,20,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Real Warren Buffett (English, Paperback, O'Loughlin James)",The Real Warren Buffett,book,ACTIVE,497,428,Seller,20,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Robert Greene Concise Collection - The Concise 48 Laws of Power / The Concise Art of Seduction / The Concise 33 Strategies of War (Set of 3 Books) (English, Boxed Set, Robert Greene)",The Robert Greene Concise Collection,book,ACTIVE,875,497,Seller,18,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Ruinous Love Trilogy By Brynne Weaver 3 books Collection Set (Butcher and Blackbird, Leather and Lark & Scythe and Sparrow) (Paperback, Brynne Weaver)",Brynne Weaver 3 books Collection Set,book,ACTIVE,3799,3032,Seller,20,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"The Secret of Secrets (English, Paperback, Brown Dan)",The Secret of Secrets ,book,ACTIVE,1499,495,Seller,16,1,express,15,3,20,0.8,0,0,0,49011010,GST_0,IN,NONE
"The Silent Patient  - table of contents (English, Paperback, Michaelides Alex)",The Silent Patient,book,ACTIVE,399,364,Seller,20,1,express,15,3,20,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Silent Patient (English, Paperback, Michaelides Alex)","The Silent Patient (English, Paperback, Michaelides Alex)",book,ACTIVE,999,333,Seller,20,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"The Silent Patient (English, Paperback, Michaelides Alex)","The Silent Patient (Paperback, Alex Michaelides)",book,ACTIVE,999,297,Seller,20,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"The Silent Patient (Paperback, Alex Michaelides)",Silent Patient  ,book,ACTIVE,399,333,Seller,20,1,express,15,3,20,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Silent Patient (Paperback, Alex Michaelides) (Paperback, Alex Michaelides)",The Silent Patient ,book,ACTIVE,999,360,Seller,20,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"The Silent Patient And The Secret Combo Of 2 Books (Paperback, Rhonda Byrne, Alex Michaelides)",The Silent Patient And The Secret,book,ACTIVE,999,405,Seller,20,1,express,15,3,20,0.5,0,0,0,49011010,GST_0,IN,NONE
"The Silva Mind Control Method  - The Silva Mind Control Method (English, Paperback, Silva Jose)",The Silva Mind Control Method,book,ACTIVE,399,378,Seller,20,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"The Subtle Art of Not Giving a F*Ck  - Embracing what matters: a guide to letting go (English, Paperback, unknown)",The Subtle Art of Not Giving a F*,book,ACTIVE,399,333,Seller,19,1,express,15,3,20,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Tatas (English, Paperback, Kuber Girish)","The Tatas  (English, Paperback, Kuber Girish)",book,ACTIVE,499,398,Seller,20,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"the tenant - freida mcfadden (Paperback, freida mcfadden)",The Tenant,book,ACTIVE,499,286,Seller,18,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Top Five Regrets of the Dying (Paperback, BRONNIE WARE)",The Top Five Regrets of the Dying  ,book,ACTIVE,399,351,Seller,20,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"The Wife Upstairs (Paperback, Freida Mcfadden)",The Wife Upstairs,book,ACTIVE,999,333,Seller,19,1,express,15,3,20,0.3,0,0,0,49011010,GST_0,IN,NONE
"Thea Stilton Box Set (Books 21 to 30) (English, Paperback, unknown)",Thea Stilton Box Set (Books 21 to 30),book,ACTIVE,3407,2193,Seller,20,1,express,15,3,25,0.5,0,0,0,49011010,GST_0,IN,NONE
